strut_id,label,r_eq_med_um,r_eq_min_um,r_eq_cv,offset_max_vox,tilt_deg,bow_vox,aspect_med,empty_sections,gap_len,gap_interior,border_frac,iou,reachable,detour,geo_len_vox,span_vox
90,nominal,377.22849,250.05269,0.15777,3.21020,2.15063,1.22234,1.43949,0.00000,0.00000,0.00000,0.00000,0.52182,1.00000,1.01599,56.10784,55.22502
91,thick,448.99170,384.30655,0.32151,1.65869,1.70756,0.17784,1.43995,0.00000,0.00000,0.00000,0.24000,0.49303,1.00000,0.99341,55.15433,55.52045
92,nominal,331.60236,284.34665,0.05027,1.21747,0.75783,0.21378,1.34692,0.00000,0.00000,0.00000,0.00000,0.60934,1.00000,1.00116,55.47217,55.40794
93,nominal,318.33282,308.00577,0.03185,1.32444,0.32845,0.18542,1.13457,0.00000,0.00000,0.00000,0.00000,0.56519,1.00000,1.01804,56.56854,55.56631
94,nominal,339.63263,308.00577,0.04508,0.88622,0.70934,0.17494,1.19196,0.00000,0.00000,0.00000,0.00000,0.70015,1.00000,1.01142,56.15433,55.52045
95,thick,525.33643,378.65469,0.35623,2.26332,3.00889,0.22893,1.32573,0.00000,0.00000,0.00000,0.44000,0.48452,1.00000,1.01058,56.15433,55.56631
96,thick,977.31458,905.15784,0.03517,1.59521,nan,nan,1.11329,0.00000,0.00000,0.00000,1.00000,0.37980,1.00000,1.00116,55.47217,55.40794
97,thick,976.21094,930.99109,0.02545,1.22337,nan,nan,1.08473,0.00000,0.00000,0.00000,1.00000,0.36810,1.00000,1.01354,56.15433,55.40422
98,thick,1017.83929,1017.83929,0.00000,0.02505,nan,nan,1.00000,0.00000,0.00000,0.00000,1.00000,0.35777,1.00000,0.99542,55.15433,55.40794
99,thick,1017.83929,1017.83929,0.00000,0.02505,nan,nan,1.00000,0.00000,0.00000,0.00000,1.00000,0.35866,1.00000,1.01928,56.47217,55.40422
100,thick,527.38446,388.49149,0.18479,2.44310,1.98159,0.19563,1.52032,0.00000,0.00000,0.00000,0.28000,0.45207,1.00000,1.01058,56.15433,55.56631
101,thick,531.45703,403.46509,0.37288,1.76581,2.50564,0.16524,1.32461,0.00000,0.00000,0.00000,0.40000,0.44722,1.00000,1.01888,56.56854,55.52045
102,nominal,325.03531,314.92810,0.04668,1.06297,0.79455,0.18319,1.12295,0.00000,0.00000,0.00000,0.00000,0.62335,1.00000,1.01058,56.15433,55.56631
103,nominal,341.21600,313.21188,0.04227,0.76334,0.54718,0.25849,1.16109,0.00000,0.00000,0.00000,0.00000,0.71094,1.00000,0.99341,55.15433,55.52045
104,thick,528.40558,439.28262,0.14389,2.28995,0.63370,0.22527,1.27028,0.00000,0.00000,0.00000,0.20000,0.45299,1.00000,1.01440,56.15433,55.35720
105,thick,541.50439,420.47427,0.15549,3.18589,6.25699,0.79538,1.31180,0.00000,0.00000,0.00000,0.24000,0.48520,1.00000,1.00448,55.47217,55.22502
106,nominal,355.14886,318.33282,0.07662,1.53664,0.87519,0.39549,1.53252,0.00000,0.00000,0.00000,0.00000,0.63963,1.00000,0.99872,55.15433,55.22502
107,nominal,398.08533,353.62787,0.04481,1.62304,0.66671,0.26194,1.51082,0.00000,0.00000,0.00000,0.00000,0.63111,1.00000,1.00208,55.47217,55.35720
108,nominal,408.77408,370.01505,0.04126,1.10121,0.42947,0.32965,1.33797,0.00000,0.00000,0.00000,0.00000,0.60329,1.00000,0.99634,55.15433,55.35720
109,thick,653.37891,440.50797,0.27104,2.77713,9.26802,0.30772,1.21159,0.00000,0.00000,0.00000,0.60000,0.41883,1.00000,0.99872,55.15433,55.22502
110,nominal,320.02161,284.34665,0.06683,1.01106,0.13936,0.21260,1.28866,0.00000,0.00000,0.00000,0.00000,0.62949,1.00000,0.99542,55.15433,55.40794
111,nominal,352.10031,328.33524,0.03357,1.25228,0.29249,0.18668,1.24048,0.00000,0.00000,0.00000,0.00000,0.60177,1.00000,0.99549,55.15433,55.40422
112,thick,637.51172,517.06287,0.21047,2.52268,3.83866,0.13068,1.23588,0.00000,0.00000,0.00000,0.52000,0.40631,1.00000,0.99634,55.15433,55.35720
113,nominal,344.36090,306.25073,0.05982,1.22004,0.61392,0.16342,1.27338,0.00000,0.00000,0.00000,0.00000,0.60000,1.00000,0.99549,55.15433,55.40422
