strut_id,label,r_eq_med_um,measurable
943,nominal,350.5,1
944,thick,525.2,0
945,nominal,334.7,1
946,missing,0.0,1
947,thick,479.0,0
948,nominal,348.9,1
949,nominal,367.0,1
950,nominal,364.0,1
951,thick,475.7,0
952,thick,1017.5,0
953,thick,1017.5,0
954,thick,1017.5,0
955,thick,1017.5,0
956,thick,481.3,0
957,thick,465.4,0
958,nominal,362.6,1
959,nominal,353.5,1
960,thick,642.4,0
961,thick,607.9,0
962,nominal,436.7,1
963,thick,457.2,1
964,thick,446.5,1
965,thick,588.1,0
966,nominal,358.1,1
967,nominal,350.5,1
968,thick,584.4,0
969,nominal,324.9,1
970,nominal,400.7,1
971,thick,461.9,0
972,nominal,333.1,1
973,nominal,341.1,1
974,nominal,345.8,1
975,thick,503.2,0
976,thick,1017.5,0
977,thick,1017.5,0
978,thick,1017.5,0
979,thick,1017.5,0
980,thick,559.0,0
981,thick,545.3,0
982,nominal,331.5,1
983,nominal,348.9,1
984,thick,639.9,0
985,thick,713.1,0
986,nominal,404.7,1
987,thick,461.9,0
988,thick,440.4,1
989,thick,534.3,0
990,nominal,342.7,1
991,nominal,329.9,1
992,thick,638.2,0
993,nominal,326.6,1
994,nominal,415.2,1
995,thick,569.5,0
996,nominal,333.1,1
997,nominal,339.5,1
998,nominal,358.1,1
999,thick,525.2,0
1000,thick,1017.5,0
1001,thick,1017.5,0
1002,thick,1017.5,0
1003,thick,1017.5,0
1004,thick,558.0,0
1005,thick,522.1,0
1006,nominal,350.5,1
1007,nominal,350.5,1
1008,thick,738.4,0
1009,thick,797.3,0
1010,thick,448.9,1
1011,thick,440.4,1
1012,thick,439.2,1
1013,thick,694.7,0
1014,nominal,329.9,1
1015,nominal,324.9,1
1016,thick,644.9,0
1017,nominal,307.9,1
1018,nominal,415.2,1
1019,thick,529.3,0
1020,nominal,329.9,1
1021,nominal,324.9,1
1022,nominal,347.4,1
1023,thick,502.1,0
1024,thick,1017.5,0
1025,thick,1017.5,0
1026,thick,1017.5,0
1027,thick,1017.5,0
1028,thick,553.2,0
1029,thick,530.3,0
1030,nominal,344.3,1
1031,nominal,352.0,1
1032,thick,713.9,0
1033,thick,693.2,0
1034,nominal,426.7,1
1035,thick,437.9,1
1036,nominal,433.0,1
1037,thick,594.5,0
1038,nominal,321.6,1
1039,nominal,309.7,1
1040,thick,602.6,0
1041,nominal,328.2,1
1042,nominal,434.2,1
1043,thick,534.3,0
1044,nominal,333.1,1
1045,nominal,345.8,1
1046,nominal,359.6,1
1047,thick,515.9,0
1048,thick,1017.5,0
1049,thick,1017.5,0
1050,thick,1017.5,0
1051,thick,1017.5,0
1052,thick,523.1,0
1053,thick,468.8,0
1054,nominal,350.5,1
1055,nominal,361.1,1
1056,thick,593.6,0
1057,thick,625.4,0
1058,nominal,404.7,1
1059,thick,441.6,1
1060,nominal,381.4,1
1061,thick,519.0,0
1062,nominal,321.6,1
1063,nominal,329.9,1
1064,thick,482.4,0
1065,nominal,336.3,1
1066,nominal,388.4,1
1067,thick,491.3,0
1068,nominal,337.9,1
1069,nominal,345.8,1
1070,nominal,374.2,1
1071,thick,447.7,0
1072,thick,1017.5,0
1073,thick,917.9,0
1074,thick,970.9,0
1075,thick,1017.5,0
1076,nominal,425.4,0
1077,thick,437.9,0
1078,nominal,329.9,1
1079,nominal,356.6,1
1080,nominal,339.5,0
1081,nominal,374.2,0
1082,nominal,314.8,0
1083,nominal,314.8,0
1084,thick,503.2,0
1085,thick,560.9,0
1086,nominal,359.6,1
1087,nominal,378.5,1
1088,broken,377.1,1
1089,thick,475.7,0
1090,nominal,336.3,1
1091,nominal,333.1,1
1092,thick,475.7,1
1093,nominal,350.5,1
1094,nominal,398.0,1
1095,thick,441.6,0
1096,nominal,345.8,1
