strut_id,label,r_eq_med_um,measurable
219,nominal,398.1,1
220,thick,746.6,0
221,thick,963.4,0
222,thick,849.9,0
223,thick,779.1,0
224,nominal,331.6,1
225,nominal,350.6,1
226,nominal,320.0,1
227,nominal,333.2,1
228,thick,458.5,1
229,thick,490.3,1
230,nominal,425.6,1
231,nominal,419.2,1
232,nominal,431.9,1
233,thick,492.5,1
234,nominal,316.6,1
235,nominal,370.0,1
236,thick,472.4,1
237,nominal,364.1,1
238,nominal,420.5,1
239,nominal,423.0,1
240,nominal,293.7,1
241,nominal,347.5,1
242,nominal,371.5,1
243,nominal,407.5,1
244,thick,931.0,0
245,thick,1017.8,0
246,thick,999.7,0
247,thick,1017.3,0
248,nominal,412.7,1
249,nominal,426.8,1
250,nominal,333.2,1
251,nominal,350.6,1
252,thick,507.6,0
253,thick,535.5,0
254,nominal,431.9,1
255,thick,439.3,1
256,thick,442.9,1
257,thick,493.6,0
258,nominal,293.7,1
259,nominal,368.6,1
260,thick,580.9,0
261,nominal,370.0,1
262,nominal,377.2,1
263,nominal,424.3,0
264,nominal,299.1,1
265,nominal,339.6,1
266,nominal,371.5,1
267,thick,474.7,0
268,thick,1015.7,0
269,thick,1017.8,0
270,thick,1017.8,0
271,thick,1017.8,0
272,thick,483.7,0
273,thick,482.6,0
274,nominal,345.9,1
275,nominal,362.7,1
276,thick,542.5,0
277,thick,533.5,0
278,nominal,421.8,1
279,nominal,426.8,1
280,nominal,408.8,1
281,thick,595.5,0
282,nominal,302.7,1
283,nominal,359.7,1
284,thick,597.4,0
285,nominal,352.1,1
286,nominal,407.5,1
287,thick,473.5,0
288,nominal,320.0,1
289,nominal,353.6,1
290,nominal,370.0,1
291,thick,519.1,0
292,thick,1017.8,0
293,thick,1017.8,0
294,thick,1017.8,0
295,thick,1017.8,0
296,thick,561.1,0
297,thick,534.5,0
298,nominal,333.2,1
299,nominal,371.5,1
300,thick,587.3,0
301,thick,661.6,0
302,nominal,408.8,1
303,nominal,421.8,1
304,nominal,426.8,1
305,thick,808.3,0
306,nominal,297.3,1
307,nominal,356.7,1
308,thick,777.7,0
309,nominal,342.8,1
310,nominal,398.1,1
311,thick,505.5,0
312,nominal,321.7,1
313,nominal,328.3,1
314,nominal,333.2,1
315,thick,696.5,0
316,thick,1017.8,0
317,thick,1017.8,0
318,thick,1017.8,0
319,thick,1017.8,0
320,thick,669.7,0
321,thick,756.6,0
322,nominal,342.8,1
323,nominal,352.1,1
324,thick,720.1,0
325,thick,723.8,0
326,nominal,353.6,1
327,nominal,392.6,1
328,nominal,420.5,1
329,thick,798.9,0
330,nominal,323.4,1
331,nominal,350.6,1
332,thick,763.0,0
333,nominal,330.0,1
334,nominal,382.9,1
335,thick,590.1,0
336,nominal,314.9,1
337,nominal,302.7,1
338,nominal,321.7,1
339,thick,767.2,0
340,thick,1017.8,0
341,thick,1017.8,0
342,thick,1017.8,0
343,thick,1017.8,0
344,thick,739.3,0
345,thick,773.5,0
346,nominal,333.2,1
347,nominal,336.4,1
348,thick,696.5,0
349,thick,726.1,0
350,nominal,392.6,1
351,nominal,408.8,1
352,nominal,407.5,1
353,thick,806.9,0
354,nominal,328.3,1
355,nominal,308.0,1
356,thick,785.9,0
357,nominal,302.7,1
358,nominal,426.8,1
359,thick,640.0,0
360,nominal,333.2,1
361,nominal,311.5,1
362,nominal,325.0,1
363,thick,777.0,0
364,thick,1017.8,0
365,thick,1017.8,0
366,thick,1017.8,0
367,thick,1017.8,0
368,thick,740.8,0
369,thick,760.9,0
370,nominal,345.9,1
371,nominal,344.4,1
372,thick,675.3,0
373,thick,689.5,0
374,nominal,404.8,1
375,nominal,399.4,1
376,nominal,389.9,1
377,thick,739.3,0
378,nominal,320.0,1
379,nominal,300.9,1
380,thick,740.8,0
381,nominal,276.7,1
382,nominal,412.7,1
383,thick,663.2,0
384,nominal,311.5,1
385,nominal,323.4,1
386,nominal,345.9,1
387,thick,782.5,0
388,thick,1017.8,0
389,thick,1017.8,0
390,thick,1017.8,0
391,thick,1017.8,0
392,thick,602.7,0
393,thick,660.8,0
394,nominal,345.9,1
395,nominal,341.2,1
396,thick,609.0,0
397,thick,584.6,0
398,nominal,367.1,1
399,nominal,424.3,1
400,nominal,415.3,1
401,thick,691.1,0
402,nominal,336.4,1
403,nominal,282.4,1
404,thick,522.2,0
405,nominal,278.6,1
406,nominal,394.0,1
407,thick,503.3,0
408,nominal,318.3,1
409,nominal,334.8,1
410,nominal,362.7,1
411,thick,568.7,0
412,thick,1017.8,0
413,thick,863.1,0
414,thick,966.8,0
415,thick,1008.3,0
416,thick,450.2,0
417,broken,651.7,0
418,nominal,325.0,1
419,nominal,321.7,1
420,nominal,374.4,0
421,nominal,398.1,0
422,nominal,325.0,0
423,nominal,311.5,0
424,thick,516.0,0
425,thick,467.8,1
426,nominal,394.0,1
427,nominal,399.4,1
428,nominal,431.9,1
429,thick,512.9,0
430,nominal,321.7,1
431,nominal,280.5,1
432,thick,503.3,1
433,nominal,313.2,1
434,broken,340.4,1
435,nominal,421.8,0
436,nominal,339.6,1
437,nominal,314.9,1
438,nominal,353.6,1
439,nominal,426.8,0
440,thick,769.3,0
441,thick,980.6,0
442,thick,860.0,0
443,thick,796.8,0
444,nominal,361.2,1
445,nominal,358.2,1
446,nominal,331.6,1
447,nominal,333.2,1
448,thick,517.1,1
449,thick,536.5,0
